name_canonical,name_variants,type,lat,lng,province_rvn,province_modern,source_url,confidence,notes
Nam Nung,Nâm Nung,town,12.36750,107.79778,,Đắk Nông,https://en.wikipedia.org/wiki/Nam_Nung,medium,from: town; coord via Wikidata P625
Nha Trang,"Nhatrang|Na Trang|Nah Trang|Nha Trang, Vietnam|History of Nha Trang|Nha Trang provincial city|Nha Trang (city)",city,12.24500,109.19167,,Khánh Hòa,https://en.wikipedia.org/wiki/Nha_Trang,medium,from: city
Nha Trang Air Base,,airbase,12.22750,109.19278,,Khánh Hòa,https://en.wikipedia.org/wiki/Nha_Trang_Air_Base,medium,from: usaf
"Nha Trang, Khánh Hòa","Xương Huân|Vĩnh Nguyên|Vạn Thạnh, Nha Trang|Vạn Thắng, Nha Trang|Phước Tiến, Nha Trang|Phước Tân, Nha Trang|Phước Hòa, Nha Trang|Lộc Thọ|Tân Lập, Nha Trang|Nha Trang ward|Nha Trang, Khanh Hoa",town,12.24111,109.19111,,Khánh Hòa,https://en.wikipedia.org/wiki/Nha_Trang%2C_Kh%C3%A1nh_H%C3%B2a,medium,from: town
Ninh Hòa,"Ninh Hòa District|Ninh Hoa District|Ninh Hoa|Ninh Hoà|Ninh Vân, Vietnam|Ninh Hòa district|Ninh Hòa district-level town",town,12.49167,109.12583,,Khánh Hòa,https://en.wikipedia.org/wiki/Ninh_H%C3%B2a,medium,from: town
Ninh Hòa Base,Ninh Hoa Base,army_base,12.50444,109.14667,,Khánh Hòa,https://en.wikipedia.org/wiki/Ninh_H%C3%B2a_Base,medium,from: army
Ocean View (Vietnam),"Ocean View, Viet Nam",marine_base,16.96500,107.12400,,Quảng Trị,https://en.wikipedia.org/wiki/Ocean_View_(Vietnam),medium,from: marine; coord via Wikidata P625
Phan Rang Air Base,"Phan Rang AB|Phan Rang Air Base, South Vietnam",airbase,11.63361,108.95194,,Ninh Thuận,https://en.wikipedia.org/wiki/Phan_Rang_Air_Base,medium,from: usaf
Phan Rang–Tháp Chàm,"Phan Rang|Phan Rang-Tháp Chàm|Phan Rang - Thap Cham|Phan Rang-Thap Cham|Phan Rang - Tháp Chàm|Phan Rang – Tháp Chàm|Phan Rang–Thap Cham|History of Phan Rang–Tháp Chàm|History of Phan Rang-Tháp Chàm|Phan Rang, Vietnam",city,11.56667,108.98333,,Ninh Thuận,https://en.wikipedia.org/wiki/Phan_Rang%E2%80%93Th%C3%A1p_Ch%C3%A0m,medium,from: city+town
Phan Rí Cửa,Phan Ri Cua,town,11.17389,108.56611,,Bình Thuận,https://en.wikipedia.org/wiki/Phan_R%C3%AD_C%E1%BB%ADa,medium,from: town
